,title,handle,price,sku,quantity,available
0,"Karat Giant Poly Wrapped Straws Black 9""",https://bestwareshop.com/products/karat-giant-poly-wrapped-straws-black-9,20.00,C9075-Black,5*500,True
1,"Karat Giant Paper Wrapped Straws - WRst_7.75""",https://bestwareshop.com/products/karat-giant-paper-wrapped-straws-wrst_7-75,39.00,C9130(WR Stripe),25*300,True
2,"P7210 Da Vinci Gourmet Coffee Toffee Freeze 2.75lb bag, (formerly Caffe D'Amore)",https://bestwareshop.com/products/p7210-da-vinci-gourmet-coffee-toffee-freeze-2-75lb-bag-formerly-caffe-damore,15.50,LOL-P7210,2.75lbs/5,True
3,"Sealing Machine ET99 (UL approved #E319617) 3amps/110v. 98mm  EasyFit cutter base + 98mm cutter rim, w/3 month standard warranty",https://bestwareshop.com/products/sealing-machine-et99-ul-approved-e319617-3amps-110v-98mm-easyfit-cutter-base-98mm-cutter-rim-w-3-month-standard-warranty,1300.00,LOL-Y8029*,unit,True
4,Blendtec 4 Side 64oz Jar w/soft lid (40-609-61/#100343),https://bestwareshop.com/products/blendtec-4-side-64oz-jar-w-soft-lid-40-609-61-100343,80.00,LOL-Y8042,ea,True
5,Blendtec 13A (#100358) w/ 1-year warranty or 5000 cycles + plus 2 4Side Jars,https://bestwareshop.com/products/blendtec-ez-13a-100358-w-1-year-warranty-or-5000-cycles-plus-2-4side-jars,450.00,LOL-Y8046,unit,True
6,Thai Tea MoCafe TEA LATTE Base (3lbs bag) #794396,https://bestwareshop.com/products/thai-tea-mocafe-tea-latte-base-3lbs-bag-794396,19.50,P7510,4/CS,True
7,Coconut Powder MoCafe Zen Freeze Smoothie Mix (3lbs) #794541,https://bestwareshop.com/products/coconut-powder-mocafe-zen-freeze-smoothie-mix-3lbs-794541,18.00,P7532,4/CS,True
8,"Frostline Frozen Treats - Vanilla Soft Serve Mix (6lbs bag), ref#D400-C4000",https://bestwareshop.com/products/frostline-frozen-treats-vanilla-soft-serve-mix-6lbs-bag-ref-d400-c4000,13.50,P7700,1/EA,True
9,"72"" Vertical Open Display Case, Solid Side Panel",https://bestwareshop.com/products/72-vertical-open-display-case-solid-side-panel,6752.99,BOD-72S,1,True
10,"Equipment Stand (30x72) 430 S/S Top, Gal Undershelf & Legs",https://bestwareshop.com/products/equipment-stand-30x72-430-s-s-top-gal-undershelf-legs,299.99,ES3072,1,True
11,"Equipment Stand (30x60) 430 S/S Top, Gal Undershelf & Legs",https://bestwareshop.com/products/equipment-stand-30x60-430-s-s-top-gal-undershelf-legs,270.99,ES3060,1,True
12,"Equipment Stand (30x48) 430 S/S Top, Gal Undershelf & Legs",https://bestwareshop.com/products/equipment-stand-30x48-430-s-s-top-gal-undershelf-legs,236.99,ES3048,1,True
13,"Equipment Stand (30x36) 430 S/S Top, Gal Undershelf & Legs",https://bestwareshop.com/products/equipment-stand-30x36-430-s-s-top-gal-undershelf-legs,198.99,ES3036,1,True
14,"Equipment Stand (30x24) 430 S/S Top, Gal Undershelf & Legs",https://bestwareshop.com/products/equipment-stand-30x24-430-s-s-top-gal-undershelf-legs,158.99,ES3024,1,True
15,"Equipment Stand (30x12) 430 S/S Top, Gal Undershelf & Legs",https://bestwareshop.com/products/equipment-stand-30x12-430-s-s-top-gal-undershelf-legs,115.99,ES3012,1,True
16,"Worktable (30x72) 430S/S Top Gal. Undershelf & Legs with 4"" Back Splash Guard",https://bestwareshop.com/products/worktable-30x72-430s-s-top-gal-undershelf-legs-with-4-back-splash-guard,263.99,EW3072-4BS,1,True
17,"Worktable (30x60) 430S/S Top Gal. Undershelf & Legs with 4"" Back Splash Guard",https://bestwareshop.com/products/worktable-30x60-430s-s-top-gal-undershelf-legs-with-4-back-splash-guard,229.99,EW3060-4BS,1,True
18,"Worktable (30x48) 430S/S Top Gal. Undershelf & Legs with 4"" Back Splash Guard",https://bestwareshop.com/products/worktable-30x48-430s-s-top-gal-undershelf-legs-with-4-back-splash-guard,208.99,EW3048-4BS,1,True
19,"Worktable (30x36) 430S/S Top Gal. Undershelf & Legs with 4"" Back Splash Guard",https://bestwareshop.com/products/worktable-30x36-430s-s-top-gal-undershelf-legs-with-4-back-splash-guard,178.99,EW3036-4BS,1,True
20,"Worktable (30x30) 430S/S Top Gal. Undershelf & Legs with 4"" Back Splash Guard",https://bestwareshop.com/products/worktable-30x30-430s-s-top-gal-undershelf-legs-with-4-back-splash-guard,152.99,EW3030-4BS,1,True
21,"Worktable (24x72) 430S/S Top Gal. Undershelf & Legs with 4"" Back Splash Guard",https://bestwareshop.com/products/worktable-24x72-430s-s-top-gal-undershelf-legs-with-4-back-splash-guard,241.99,EW2472-4BS,1,True
22,"Worktable (24x60) 430S/S Top Gal. Undershelf & Legs with 4"" Back Splash Guard",https://bestwareshop.com/products/worktable-24x60-430s-s-top-gal-undershelf-legs-with-4-back-splash-guard,217.99,EW2460-4BS,1,True
23,"Worktable (24x48) 430S/S Top Gal. Undershelf & Legs with 4"" Back Splash Guard",https://bestwareshop.com/products/worktable-24x48-430s-s-top-gal-undershelf-legs-with-4-back-splash-guard,181.99,EW2448-4BS,1,True
24,"Worktable (24x36) 430S/S Top Gal. Undershelf & Legs with 4"" Back Splash Guard",https://bestwareshop.com/products/worktable-24x36-430s-s-top-gal-undershelf-legs-with-4-back-splash-guard,160.99,EW2436-4BS,1,True
25,"Worktable (24x30) 430S/S Top Gal. Undershelf & Legs with 4"" Back Splash Guard",https://bestwareshop.com/products/worktable-24x30-430s-s-top-gal-undershelf-legs-with-4-back-splash-guard,150.99,EW2430-4BS,1,True
26,"Worktable (24x24) 430S/S Top Gal. Undershelf & Legs with 4"" Back Splash Guard",https://bestwareshop.com/products/worktable-24x24-430s-s-top-gal-undershelf-legs-with-4-back-splash-guard,129.99,EW2424-4BS,1,True
27,Worktable (30x96) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-30x96-430s-s-top-gal-undershelf-legs,268.99,EW3096,1,True
28,Worktable (30x84) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-30x84-430s-s-top-gal-undershelf-legs,239.99,EW3084,1,True
29,Worktable (30x72) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-30x72-430s-s-top-gal-undershelf-legs,206.99,EW3072,1,True
30,Worktable (30x60) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-30x60-430s-s-top-gal-undershelf-legs,177.99,EW3060,1,True
31,Worktable (30x48) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-30x48-430s-s-top-gal-undershelf-legs,159.99,EW3048,1,True
32,Worktable (30x36) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-30x36-430s-s-top-gal-undershelf-legs,134.99,EW3036,1,True
33,Worktable (30x30) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-30x30-430s-s-top-gal-undershelf-legs,118.99,EW3030,1,True
34,Worktable (24x96) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x96-430s-s-top-gal-undershelf-legs,231.99,EW2496,1,True
35,Worktable (24x84) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x84-430s-s-top-gal-undershelf-legs,210.99,EW2484,1,True
36,Worktable (24x72) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x72-430s-s-top-gal-undershelf-legs,188.99,EW2472,1,True
